Item_Identifier;Item_Weight;Item_Fat_Content;Item_Visibility;Item_Type;Item_MRP;Outlet_Identifier;Outlet_Establishment_Year;Outlet_Size;Outlet_Location_Type;Outlet_Type;Item_Outlet_Sales
NCR53;9.695;Low Fat;0.113917889;Health and Hygiene;158.2604;OUT035;2004;Small;Tier 2;Supermarket Type1;2693.8268
FDF56;14.1;low fat;0.113908117;Baking Goods;53.3956;OUT017;2007;;Tier 2;Supermarket Type1;982.7208
FDL57;21.25;Low Fat;0.113833823;Health and Hygiene;232.83;OUT045;2002;;Tier 2;Supermarket Type1;1398.18
NCC31;11.8;Low Fat;0.113790879;Soft Drinks;185.3924;OUT018;2009;Medium;Tier 3;Supermarket Type2;370.1848
FDE33;17.25;Low Fat;0.113748685;Household;251.3724;OUT045;2002;;Tier 2;Supermarket Type1;6795.1548
FDV52;;Low Fat;0.113720344;Baking Goods;89.9804;OUT019;1985;Small;Tier 1;Grocery Store;643.1628
FDR46;17.25;Low Fat;0.113694957;Household;253.4724;OUT049;1999;Medium;Tier 1;Supermarket Type1;6040.1376
DRE12;15.35;Regular;0.113678422;Fruits and Vegetables;189.7504;OUT018;2009;Medium;Tier 3;Supermarket Type2;2492.7552
FDD57;;Low Fat;0.113669629;Canned;89.0198;OUT019;1985;Small;Tier 1;Grocery Store;174.4396
NCS41;11.8;Low Fat;0.113559058;Soft Drinks;184.2924;OUT045;2002;;Tier 2;Supermarket Type1;1850.924
NCY41;17.25;Low Fat;0.113518466;Household;253.5724;OUT046;1997;Small;Tier 1;Supermarket Type1;5033.448
FDV22;11.8;Low Fat;0.11350542;Soft Drinks;186.8924;OUT049;1999;Medium;Tier 1;Supermarket Type1;2961.4784
FDF12;14.1;Low Fat;0.11349714;Baking Goods;56.1956;OUT045;2002;;Tier 2;Supermarket Type1;1364.89
FDM13;17.25;Low Fat;0.113497001;Household;253.4724;OUT035;2004;Small;Tier 2;Supermarket Type1;755.0172
FDQ56;;Low Fat;0.113387677;Health and Hygiene;156.9604;OUT027;1985;Medium;Tier 3;Supermarket Type3;1584.604
FDW55;11.8;Low Fat;0.113307794;Soft Drinks;187.0924;OUT035;2004;Small;Tier 2;Supermarket Type1;1850.924
NCT29;8.85;Regular;0.113302223;Soft Drinks;125.1388;OUT017;2007;;Tier 2;Supermarket Type1;1114.5492
NCX42;14.1;Low Fat;0.11326743;Baking Goods;54.5956;OUT046;1997;Small;Tier 1;Supermarket Type1;1037.3164
FDR24;11.8;Low Fat;0.113234914;Soft Drinks;186.3924;OUT013;1987;High;Tier 3;Supermarket Type1;5367.6796
NCS42;15.35;Regular;0.113217223;Fruits and Vegetables;191.1504;OUT046;1997;Small;Tier 1;Supermarket Type1;1725.7536
FDL40;;Low Fat;0.113212516;Others;254.604;OUT019;1985;Small;Tier 1;Grocery Store;759.012
FDD47;15.35;Regular;0.113195815;Fruits and Vegetables;190.8504;OUT035;2004;Small;Tier 2;Supermarket Type1;3643.2576
DRE03;;Regular;0.113139486;Starchy Foods;92.9804;OUT019;1985;Small;Tier 1;Grocery Store;183.7608
NCM18;15.2;Low Fat;0.113125627;Soft Drinks;38.6848;OUT045;2002;;Tier 2;Supermarket Type1;1155.8288
FDF52;8.85;Regular;0.113123893;Soft Drinks;122.5388;OUT018;2009;Medium;Tier 3;Supermarket Type2;1609.9044
NCG43;15.2;Low Fat;0.113072194;Soft Drinks;35.8848;OUT049;1999;Medium;Tier 1;Supermarket Type1;596.5568
FDE20;20.5;Regular;0.113045883;Fruits and Vegetables;194.1478;OUT017;2007;;Tier 2;Supermarket Type1;2906.217
FDI33;17.75;Regular;0.112985849;Baking Goods;185.424;OUT010;1998;;Tier 3;Grocery Store;745.696
NCT06;7.81;Low Fat;0.112906337;Soft Drinks;243.5486;OUT010;1998;;Tier 3;Grocery Store;488.6972
FDY24;15.2;Low Fat;0.112896669;Soft Drinks;36.0848;OUT046;1997;Small;Tier 1;Supermarket Type1;1193.1136
FDZ33;8.85;Regular;0.112893431;Soft Drinks;123.3388;OUT045;2002;;Tier 2;Supermarket Type1;2972.1312
FDJ55;19;Low Fat;0.112893408;Snack Foods;131.0626;OUT010;1998;;Tier 3;Grocery Store;524.6504
FDE45;12.5;Low Fat;0.112859454;Canned;118.344;OUT017;2007;;Tier 2;Supermarket Type1;2157.192
FDD44;10.195;Low Fat;0.112859454;Hard Drinks;114.486;OUT017;2007;;Tier 2;Supermarket Type1;2490.092
FDD10;8.85;Regular;0.112840108;Soft Drinks;122.0388;OUT049;1999;Medium;Tier 1;Supermarket Type1;1238.388
FDA39;8.42;Low Fat;0.112728355;Health and Hygiene;65.8168;OUT018;2009;Medium;Tier 3;Supermarket Type2;830.9184
FDB36;;LF;0.112718928;Baking Goods;54.2956;OUT027;1985;Medium;Tier 3;Supermarket Type3;1310.2944
FDK52;10.195;Low Fat;0.112681821;Hard Drinks;113.986;OUT018;2009;Medium;Tier 3;Supermarket Type2;452.744
FDJ36;12.5;Low Fat;0.112681821;Canned;119.144;OUT018;2009;Medium;Tier 3;Supermarket Type2;3235.788
NCB55;;Regular;0.112668963;Fruits and Vegetables;191.0504;OUT027;1985;Medium;Tier 3;Supermarket Type3;5752.512
NCK18;20.5;Regular;0.112638016;Fruits and Vegetables;195.5478;OUT045;2002;;Tier 2;Supermarket Type1;3874.956
FDX27;20.5;Regular;0.112584813;Fruits and Vegetables;192.0478;OUT049;1999;Medium;Tier 1;Supermarket Type1;1549.9824
FDB08;8.85;Regular;0.112571187;Soft Drinks;122.0388;OUT013;1987;High;Tier 3;Supermarket Type1;1609.9044
FDX43;19;Low Fat;0.112556507;Frozen Foods;104.9622;OUT017;2007;;Tier 2;Supermarket Type1;1587.933
FDA20;10.395;Low Fat;0.112553853;Snack Foods;59.022;OUT018;2009;Medium;Tier 3;Supermarket Type2;1378.206
FDC04;20.2;Low Fat;0.112549008;Household;123.1046;OUT045;2002;;Tier 2;Supermarket Type1;1120.5414
FDG17;20.2;Low Fat;0.112495847;Household;124.4046;OUT049;1999;Medium;Tier 1;Supermarket Type1;1120.5414
FDU58;20.5;Regular;0.112410046;Fruits and Vegetables;192.2478;OUT046;1997;Small;Tier 1;Supermarket Type1;3874.956
FDP24;17.1;Low Fat;0.112402118;Household;112.986;OUT010;1998;;Tier 3;Grocery Store;113.186
NCT29;12.5;Low Fat;0.112399145;Canned;120.444;OUT049;1999;Medium;Tier 1;Supermarket Type1;1438.128
FDB08;10.195;Low Fat;0.112399145;Hard Drinks;111.686;OUT049;1999;Medium;Tier 1;Supermarket Type1;2263.72
NCB43;;Low Fat;0.112349962;Soft Drinks;39.1848;OUT027;1985;Medium;Tier 3;Supermarket Type3;559.272
FDL09;10.395;Low Fat;0.112324552;Snack Foods;60.622;OUT045;2002;;Tier 2;Supermarket Type1;778.986
DRK49;20.2;LF;0.112321218;Household;123.6046;OUT046;1997;Small;Tier 1;Supermarket Type1;2988.1104
FDR37;20.5;Regular;0.112316501;Fruits and Vegetables;193.9478;OUT013;1987;High;Tier 3;Supermarket Type1;4456.1994
FDG56;10.395;Low Fat;0.112271498;Snack Foods;58.222;OUT049;1999;Medium;Tier 1;Supermarket Type1;659.142
FDE34;8.42;Low Fat;0.11227101;Health and Hygiene;63.2168;OUT046;1997;Small;Tier 1;Supermarket Type1;703.0848
FDE16;8.42;Low Fat;0.112249781;Health and Hygiene;64.3168;OUT035;2004;Small;Tier 2;Supermarket Type1;703.0848
FDT58;;Low Fat;0.112249603;Health and Hygiene;123.3414;OUT019;1985;Small;Tier 1;Grocery Store;243.6828
FDR03;20.2;Low Fat;0.112227747;Household;123.5046;OUT013;1987;High;Tier 3;Supermarket Type1;2739.1012
NCL30;10.195;Low Fat;0.112203445;Hard Drinks;111.786;OUT035;2004;Small;Tier 2;Supermarket Type1;1697.79
FDT22;12.5;Low Fat;0.112203445;Canned;121.144;OUT035;2004;Small;Tier 2;Supermarket Type1;1438.128
FDP45;8.42;Low Fat;0.112177581;Health and Hygiene;65.9168;OUT013;1987;High;Tier 3;Supermarket Type1;958.752
FDS15;;Low Fat;0.112161697;Canned;154.4682;OUT019;1985;Small;Tier 1;Grocery Store;152.4682
FDF16;;Regular;0.112119359;Soft Drinks;123.0388;OUT027;1985;Medium;Tier 3;Supermarket Type3;1981.4208
FDL13;19;Low Fat;0.112097433;Frozen Foods;105.5622;OUT049;1999;Medium;Tier 1;Supermarket Type1;1905.5196
NCV30;10.395;Low Fat;0.11207602;Snack Foods;58.022;OUT035;2004;Small;Tier 2;Supermarket Type1;659.142
FDG33;19.7;Low Fat;0.112036236;Snack Foods;174.937;OUT010;1998;;Tier 3;Grocery Store;882.185
FDO10;14.1;Low Fat;0.111936685;Snack Foods;198.8084;OUT010;1998;;Tier 3;Grocery Store;992.042
FDQ03;17.75;Low Fat;0.111931193;Others;108.8912;OUT017;2007;;Tier 2;Supermarket Type1;327.5736
NCC55;19;Low Fat;0.111923422;Frozen Foods;106.5622;OUT046;1997;Small;Tier 1;Supermarket Type1;2117.244
FDD52;19;Low Fat;0.111902259;Frozen Foods;105.4622;OUT035;2004;Small;Tier 2;Supermarket Type1;1905.5196
FDI16;9.3;Low Fat;0.11184963;Breads;64.6826;OUT017;2007;;Tier 2;Supermarket Type1;774.9912
FDB44;19;Low Fat;0.111830282;Frozen Foods;105.4622;OUT013;1987;High;Tier 3;Supermarket Type1;952.7598
FDA25;9.3;Low Fat;0.11178154;Frozen Foods;182.3292;OUT010;1998;;Tier 3;Grocery Store;182.4292
FDV33;;Low Fat;0.111777297;Household;124.6046;OUT027;1985;Medium;Tier 3;Supermarket Type3;2863.6058
FDX47;;Regular;0.11173569;Fruits and Vegetables;115.9492;OUT019;1985;Small;Tier 1;Grocery Store;115.8492
FDO50;12.3;LF;0.111727876;Baking Goods;33.9874;OUT018;2009;Medium;Tier 3;Supermarket Type2;564.5984
FDV57;15.6;Low Fat;0.111685868;Others;184.7924;OUT010;1998;;Tier 3;Grocery Store;370.1848
FDB02;9.3;LF;0.111673587;Breads;65.7826;OUT018;2009;Medium;Tier 3;Supermarket Type2;968.739
FDD16;8.02;Low Fat;0.111666665;Snack Foods;155.2998;OUT045;2002;;Tier 2;Supermarket Type1;1230.3984
FDX02;;Low Fat;0.111654545;Frozen Foods;157.063;OUT019;1985;Small;Tier 1;Grocery Store;312.926
FDP11;8.02;Low Fat;0.111613921;Snack Foods;152.6998;OUT049;1999;Medium;Tier 1;Supermarket Type1;3383.5956
FDH32;;Low Fat;0.111554381;Snack Foods;59.822;OUT027;1985;Medium;Tier 3;Supermarket Type3;1677.816
NCL18;17.75;Low Fat;0.111527348;Others;110.2912;OUT045;2002;;Tier 2;Supermarket Type1;873.5296
FDT12;12.3;Low Fat;0.111500259;Baking Goods;35.6874;OUT045;2002;;Tier 2;Supermarket Type1;846.8976
FDD50;17.75;Low Fat;0.11147467;Others;108.0912;OUT049;1999;Medium;Tier 1;Supermarket Type1;1637.868
NCU05;9.3;Low Fat;0.11144608;Breads;64.6826;OUT045;2002;;Tier 2;Supermarket Type1;1097.9042
FDI56;8.02;Low Fat;0.111419588;Snack Foods;154.3998;OUT035;2004;Small;Tier 2;Supermarket Type1;3383.5956
DRL11;;Low Fat;0.111381428;Frozen Foods;106.7622;OUT027;1985;Medium;Tier 3;Supermarket Type3;2964.1416
FDQ08;17.75;Low Fat;0.111301625;Others;107.5912;OUT046;1997;Small;Tier 1;Supermarket Type1;1528.6768
FDW20;11.1;Low Fat;0.111298111;Fruits and Vegetables;191.7846;OUT017;2007;;Tier 2;Supermarket Type1;3057.3536
FDW46;12.3;Low Fat;0.111274591;Baking Goods;35.0874;OUT046;1997;Small;Tier 1;Supermarket Type1;458.7362
FDO09;9.3;low fat;0.111220521;Breads;65.7826;OUT046;1997;Small;Tier 1;Supermarket Type1;968.739
DRJ49;17.75;LF;0.111209003;Others;107.7912;OUT013;1987;High;Tier 3;Supermarket Type1;982.7208
FDP26;9.3;Low Fat;0.111127966;Breads;63.1826;OUT013;1987;High;Tier 3;Supermarket Type1;2002.0606
FDO19;11.1;Low Fat;0.111122936;Fruits and Vegetables;189.2846;OUT018;2009;Medium;Tier 3;Supermarket Type2;3630.6074
NCG43;8.275;Low Fat;0.110913601;Household;106.3306;OUT017;2007;;Tier 2;Supermarket Type1;1254.3672
FDG02;;Low Fat;0.110901004;Snack Foods;155.0998;OUT027;1985;Medium;Tier 3;Supermarket Type3;2768.3964
FDO32;11.1;Low Fat;0.11089655;Fruits and Vegetables;191.5846;OUT045;2002;;Tier 2;Supermarket Type1;2101.9306
FDR34;16.5;Regular;0.110888167;Breakfast;181.6292;OUT010;1998;;Tier 3;Grocery Store;1094.5752
FDU59;11.1;Low Fat;0.11084417;Fruits and Vegetables;189.2846;OUT049;1999;Medium;Tier 1;Supermarket Type1;5159.2842
FDN31;;Low Fat;0.110762642;Others;108.5912;OUT027;1985;Medium;Tier 3;Supermarket Type3;1637.868
FDT55;8.275;Low Fat;0.110739031;Household;103.3306;OUT018;2009;Medium;Tier 3;Supermarket Type2;2404.2038
FDE08;;Low Fat;0.110735739;Baking Goods;35.2874;OUT027;1985;Medium;Tier 3;Supermarket Type3;988.0472
FDK52;;Regular;0.1107011;Dairy;88.6856;OUT019;1985;Small;Tier 1;Grocery Store;351.5424
FDW11;;LF;0.110681931;Breads;63.2826;OUT027;1985;Medium;Tier 3;Supermarket Type3;1033.3216
FDC03;15.85;Regular;0.110653377;Frozen Foods;36.9506;OUT017;2007;;Tier 2;Supermarket Type1;759.012
FDR43;7.1;Low Fat;0.110633958;Fruits and Vegetables;173.808;OUT017;2007;;Tier 2;Supermarket Type1;1211.756
FDL14;12.5;Regular;0.110614538;Fruits and Vegetables;80.6592;OUT017;2007;;Tier 2;Supermarket Type1;1651.184
FDP39;15.85;Regular;0.110479217;Frozen Foods;36.7506;OUT018;2009;Medium;Tier 3;Supermarket Type2;531.3084
FDG29;7.1;LF;0.110459828;Fruits and Vegetables;172.108;OUT018;2009;Medium;Tier 3;Supermarket Type2;2250.404
DRH15;8.775;Low Fat;0.110359004;Dairy;42.7428;OUT018;2009;Medium;Tier 3;Supermarket Type2;790.9704
FDT11;20.2;Low Fat;0.110356797;Household;62.051;OUT010;1998;;Tier 3;Grocery Store;126.502
FDU48;15.85;Regular;0.110254143;Frozen Foods;37.3506;OUT045;2002;;Tier 2;Supermarket Type1;341.5554
FDY12;7.1;Low Fat;0.110234793;Fruits and Vegetables;171.708;OUT045;2002;;Tier 2;Supermarket Type1;3115.944
FDS44;12.5;Regular;0.110215444;Fruits and Vegetables;81.8592;OUT045;2002;;Tier 2;Supermarket Type1;1238.388
NCP06;15.85;Regular;0.110202066;Frozen Foods;39.7506;OUT049;1999;Medium;Tier 1;Supermarket Type1;721.0614
DRH23;8.275;Low Fat;0.110197977;Household;104.2306;OUT013;1987;High;Tier 3;Supermarket Type1;3658.571
FDA16;12.5;Regular;0.110163385;Fruits and Vegetables;83.6592;OUT049;1999;Medium;Tier 1;Supermarket Type1;1320.9472
FDT45;17.85;Low Fat;0.110152524;Frozen Foods;150.205;OUT010;1998;;Tier 3;Grocery Store;149.805
FDE56;15.85;Regular;0.110030997;Frozen Foods;37.2506;OUT046;1997;Small;Tier 1;Supermarket Type1;265.6542
FDA40;15.85;Regular;0.110010191;Frozen Foods;38.8506;OUT035;2004;Small;Tier 2;Supermarket Type1;341.5554
FDA39;7.1;Low Fat;0.109990885;Fruits and Vegetables;172.908;OUT035;2004;Small;Tier 2;Supermarket Type1;2769.728
NCB19;12.5;Regular;0.109971578;Fruits and Vegetables;82.7592;OUT035;2004;Small;Tier 2;Supermarket Type1;577.9144
FDZ34;8.775;Low Fat;0.109911272;Dairy;41.9428;OUT046;1997;Small;Tier 1;Supermarket Type1;1537.998
FDV22;12.5;Regular;0.109900843;Fruits and Vegetables;83.0592;OUT013;1987;High;Tier 3;Supermarket Type1;743.0328
FDO40;19;Regular;0.10985775;Fruits and Vegetables;188.8214;OUT010;1998;;Tier 3;Grocery Store;188.4214
FDD21;5.695;Low Fat;0.109784056;Frozen Foods;256.0646;OUT010;1998;;Tier 3;Grocery Store;1288.323
FDO36;9.395;Regular;0.109713464;Soft Drinks;41.3112;OUT017;2007;;Tier 2;Supermarket Type1;255.6672
FDV34;19.35;Regular;0.109667698;Meat;166.0816;OUT010;1998;;Tier 3;Grocery Store;671.1264
NCY18;;Regular;0.109459733;Fruits and Vegetables;84.1592;OUT027;1985;Medium;Tier 3;Supermarket Type3;1320.9472
NCM54;;Regular;0.109274313;Fruits and Vegetables;225.3062;OUT019;1985;Small;Tier 1;Grocery Store;677.1186
FDB59;9.395;Regular;0.109265987;Soft Drinks;42.3112;OUT049;1999;Medium;Tier 1;Supermarket Type1;980.0576
FDS45;20.75;Low Fat;0.109153001;Snack Foods;161.3578;OUT018;2009;Medium;Tier 3;Supermarket Type2;4492.8184
FDV24;14.3;Regular;0.109144085;Fruits and Vegetables;88.2856;OUT010;1998;;Tier 3;Grocery Store;175.7712
FDD46;9.395;Regular;0.109096371;Soft Drinks;44.6112;OUT046;1997;Small;Tier 1;Supermarket Type1;511.3344
FDQ39;9.395;Regular;0.109075742;Soft Drinks;42.9112;OUT035;2004;Small;Tier 2;Supermarket Type1;426.112
FDD52;;Regular;0.109003832;Frozen Foods;145.2418;OUT019;1985;Small;Tier 1;Grocery Store;147.1418
FDL39;20.75;Low Fat;0.108930629;Snack Foods;160.9578;OUT045;2002;;Tier 2;Supermarket Type1;1444.1202
FDV02;20.75;Low Fat;0.108879177;Snack Foods;161.5578;OUT049;1999;Medium;Tier 1;Supermarket Type1;320.9156
FDE11;20.75;Low Fat;0.108710162;Snack Foods;161.7578;OUT046;1997;Small;Tier 1;Supermarket Type1;2888.2404
NCU54;20.75;Low Fat;0.108689606;Snack Foods;159.3578;OUT035;2004;Small;Tier 2;Supermarket Type1;4492.8184
FDR43;6.75;Regular;0.108679906;Dairy;95.6752;OUT018;2009;Medium;Tier 3;Supermarket Type2;1246.3776
FDD51;19.7;Low Fat;0.108665723;Canned;86.4198;OUT010;1998;;Tier 3;Grocery Store;87.2198
FDO60;12.85;Low Fat;0.108633372;Fruits and Vegetables;233.8642;OUT018;2009;Medium;Tier 3;Supermarket Type2;2323.642
NCS06;;Regular;0.108568067;Soft Drinks;42.9112;OUT027;1985;Medium;Tier 3;Supermarket Type3;809.6128
FDX50;9.195;Low Fat;0.108501676;Snack Foods;183.6634;OUT017;2007;;Tier 2;Supermarket Type1;2362.9242
FDQ55;19.25;Low Fat;0.108470504;Household;33.4558;OUT018;2009;Medium;Tier 3;Supermarket Type2;441.4254
FDL52;6.75;Regular;0.108458498;Dairy;96.9752;OUT045;2002;;Tier 2;Supermarket Type1;958.752
FDK52;12.85;Low Fat;0.108412059;Fruits and Vegetables;233.2642;OUT045;2002;;Tier 2;Supermarket Type1;3950.1914
NCO02;9.195;Low Fat;0.108330902;Snack Foods;183.6634;OUT018;2009;Medium;Tier 3;Supermarket Type2;2726.451
NCO30;10.895;Low Fat;0.108253944;Fruits and Vegetables;194.8794;OUT010;1998;;Tier 3;Grocery Store;585.2382
FDA33;6.75;Regular;0.10821852;Dairy;96.3752;OUT035;2004;Small;Tier 2;Supermarket Type1;1342.2528
FDB12;15.85;Low Fat;0.108206497;Soft Drinks;58.3904;OUT017;2007;;Tier 2;Supermarket Type1;468.7232
FDT40;;low fat;0.10818157;Dairy;149.605;OUT019;1985;Small;Tier 1;Grocery Store;449.415
NCO05;6.75;Regular;0.108148913;Dairy;95.6752;OUT013;1987;High;Tier 3;Supermarket Type1;958.752
FDR32;12.85;Low Fat;0.108102606;Fruits and Vegetables;233.3642;OUT013;1987;High;Tier 3;Supermarket Type1;3950.1914
FDM04;9.195;Low Fat;0.108059141;Snack Foods;181.7634;OUT049;1999;Medium;Tier 1;Supermarket Type1;6179.9556
DRL01;15.85;Low Fat;0.108036187;Soft Drinks;57.3904;OUT018;2009;Medium;Tier 3;Supermarket Type2;703.0848
FDQ56;19.25;Low Fat;0.108030434;Household;32.4558;OUT046;1997;Small;Tier 1;Supermarket Type1;101.8674
FDH08;19.25;LF;0.108010006;Household;33.3558;OUT035;2004;Small;Tier 2;Supermarket Type1;713.0718
NCQ06;10.195;Low Fat;0.108004532;Snack Foods;148.7076;OUT017;2007;;Tier 2;Supermarket Type1;1330.2684
FDG16;19.25;Low Fat;0.107940533;Household;35.5558;OUT013;1987;High;Tier 3;Supermarket Type1;305.6022
FDZ40;9.195;Low Fat;0.107891398;Snack Foods;182.7634;OUT046;1997;Small;Tier 1;Supermarket Type1;3817.0314
FDY51;9.195;Low Fat;0.107870997;Snack Foods;181.2634;OUT035;2004;Small;Tier 2;Supermarket Type1;2362.9242
NCN41;10.195;low fat;0.107834541;Snack Foods;146.5076;OUT018;2009;Medium;Tier 3;Supermarket Type2;1330.2684
NCM17;15.85;Low Fat;0.107765165;Soft Drinks;59.5904;OUT049;1999;Medium;Tier 1;Supermarket Type1;703.0848
FDP39;;reg;0.107714834;Dairy;97.8752;OUT027;1985;Medium;Tier 3;Supermarket Type3;2109.2544
FDZ08;5.46;Regular;0.107662745;Fruits and Vegetables;143.8786;OUT017;2007;;Tier 2;Supermarket Type1;4334.358
FDU03;11.8;Regular;0.107662745;Dairy;224.1772;OUT017;2007;;Tier 2;Supermarket Type1;2890.9036
FDZ49;17.25;Low Fat;0.10764721;Frozen Foods;39.3822;OUT017;2007;;Tier 2;Supermarket Type1;314.2576
NCX30;15.85;Low Fat;0.107597879;Soft Drinks;58.7904;OUT046;1997;Small;Tier 1;Supermarket Type1;585.904
FDV08;10.195;Low Fat;0.107564024;Snack Foods;149.0076;OUT049;1999;Medium;Tier 1;Supermarket Type1;1182.4608
FDB15;;Low Fat;0.107507291;Household;34.8558;OUT027;1985;Medium;Tier 3;Supermarket Type3;441.4254
FDY49;13.8;Regular;0.107469819;Fruits and Vegetables;77.8012;OUT010;1998;;Tier 3;Grocery Store;227.7036
FDF24;10.195;Low Fat;0.107376743;Snack Foods;147.6076;OUT035;2004;Small;Tier 2;Supermarket Type1;3547.3824
DRK47;10.195;Low Fat;0.107307677;Snack Foods;149.8076;OUT013;1987;High;Tier 3;Supermarket Type1;2217.114
DRD37;11.8;Regular;0.107274301;Dairy;221.1772;OUT045;2002;;Tier 2;Supermarket Type1;3113.2808
FDH40;5.46;Regular;0.107274301;Fruits and Vegetables;145.5786;OUT045;2002;;Tier 2;Supermarket Type1;3900.9222
FDL12;17.25;Low Fat;0.107258822;Frozen Foods;40.1822;OUT045;2002;;Tier 2;Supermarket Type1;510.6686
FDW11;5.46;Regular;0.107223632;Fruits and Vegetables;144.8786;OUT049;1999;Medium;Tier 1;Supermarket Type1;3323.0078
NCE06;11.8;Regular;0.107223632;Dairy;223.5772;OUT049;1999;Medium;Tier 1;Supermarket Type1;2668.5264
FDF32;16;Regular;0.107186944;Baking Goods;181.9634;OUT018;2009;Medium;Tier 3;Supermarket Type2;3453.5046
DRI47;;Regular;0.107110465;Breakfast;55.5588;OUT019;1985;Small;Tier 1;Grocery Store;229.0352
DRA12;;Low Fat;0.107076832;Soft Drinks;58.7904;OUT027;1985;Medium;Tier 3;Supermarket Type3;1288.9888
FDX45;5.46;Regular;0.107057186;Fruits and Vegetables;144.9786;OUT046;1997;Small;Tier 1;Supermarket Type1;2022.7004
FDR35;11.8;Regular;0.107057186;Dairy;224.1772;OUT046;1997;Small;Tier 1;Supermarket Type1;3558.0352
FDK03;5.46;Regular;0.107036943;Fruits and Vegetables;144.2786;OUT035;2004;Small;Tier 2;Supermarket Type1;288.9572
NCJ18;11.8;Regular;0.107036943;Dairy;220.3772;OUT035;2004;Small;Tier 2;Supermarket Type1;4447.544
FDN48;17.25;Low Fat;0.107021498;Frozen Foods;40.5822;OUT035;2004;Small;Tier 2;Supermarket Type1;785.644
FDZ59;;Regular;0.106971167;Meat;44.7744;OUT019;1985;Small;Tier 1;Grocery Store;135.8232
FDB57;16;Regular;0.106968577;Baking Goods;180.5634;OUT045;2002;;Tier 2;Supermarket Type1;2726.451
DRP35;5.46;Regular;0.106968096;Fruits and Vegetables;142.6786;OUT013;1987;High;Tier 3;Supermarket Type1;2311.6576
FDZ59;11.8;Regular;0.106968096;Dairy;221.6772;OUT013;1987;High;Tier 3;Supermarket Type1;3113.2808
FDU58;9.8;Low Fat;0.106933748;Fruits and Vegetables;175.337;OUT045;2002;;Tier 2;Supermarket Type1;529.311
FDL09;12.3;Regular;0.106928681;Fruits and Vegetables;173.7396;OUT017;2007;;Tier 2;Supermarket Type1;3663.2316
FDY38;16;Regular;0.106918052;Baking Goods;183.5634;OUT049;1999;Medium;Tier 1;Supermarket Type1;4725.8484
FDI46;;Low Fat;0.106907604;Breakfast;162.8526;OUT019;1985;Small;Tier 1;Grocery Store;493.3578
FDL03;14.5;Regular;0.106894492;Breads;260.4594;OUT010;1998;;Tier 3;Grocery Store;1046.6376
DRC25;;Low Fat;0.106876976;Snack Foods;146.7076;OUT027;1985;Medium;Tier 3;Supermarket Type3;3842.9976
FDU60;9.8;Regular;0.106816919;Fruits and Vegetables;114.2492;OUT010;1998;;Tier 3;Grocery Store;463.3968
FDP25;16;Regular;0.106752081;Baking Goods;181.4634;OUT046;1997;Small;Tier 1;Supermarket Type1;1090.5804
FDO57;16;Regular;0.106731895;Baking Goods;183.6634;OUT035;2004;Small;Tier 2;Supermarket Type1;2544.6876
FDQ09;16;Regular;0.106663245;Baking Goods;179.7634;OUT013;1987;High;Tier 3;Supermarket Type1;4180.5582
NCY05;12.3;Regular;0.106542886;Fruits and Vegetables;173.2396;OUT045;2002;;Tier 2;Supermarket Type1;3139.9128
FDA20;;Regular;0.106538757;Dairy;222.3772;OUT027;1985;Medium;Tier 3;Supermarket Type3;1556.6404
FDF16;;Regular;0.106538757;Fruits and Vegetables;145.4786;OUT027;1985;Medium;Tier 3;Supermarket Type3;5779.144
NCG07;12.3;Regular;0.106492562;Fruits and Vegetables;176.3396;OUT049;1999;Medium;Tier 1;Supermarket Type1;1395.5168
FDR46;12.3;Regular;0.106327251;Fruits and Vegetables;172.8396;OUT046;1997;Small;Tier 1;Supermarket Type1;2616.594
FDP22;12.3;Regular;0.106307146;Fruits and Vegetables;174.9396;OUT035;2004;Small;Tier 2;Supermarket Type1;1569.9564
FDL45;11;LF;0.1062679;Breads;123.2046;OUT018;2009;Medium;Tier 3;Supermarket Type2;3237.1196
NCF42;12.3;Regular;0.106238768;Fruits and Vegetables;176.1396;OUT013;1987;High;Tier 3;Supermarket Type1;3663.2316
FDD04;15.1;Regular;0.106097275;Fruits and Vegetables;43.2796;OUT018;2009;Medium;Tier 3;Supermarket Type2;123.8388
FDC45;11;Low Fat;0.106051405;Breads;124.4046;OUT045;2002;;Tier 2;Supermarket Type1;2241.0828
FDI40;6.59;Low Fat;0.106027474;Fruits and Vegetables;83.9908;OUT018;2009;Medium;Tier 3;Supermarket Type2;1426.1436
FDQ11;20.75;Regular;0.105994654;Breakfast;150.5682;OUT010;1998;;Tier 3;Grocery Store;762.341
DRM48;;Low Fat;0.105893301;Baking Goods;86.254;OUT019;1985;Small;Tier 1;Grocery Store;519.324
FDS12;15.6;Regular;0.10589167;Snack Foods;172.6764;OUT017;2007;;Tier 2;Supermarket Type1;2920.1988
FDR46;15.1;Regular;0.105881129;Fruits and Vegetables;42.0796;OUT045;2002;;Tier 2;Supermarket Type1;454.0756
NCO02;15.1;Regular;0.105831117;Fruits and Vegetables;41.6796;OUT049;1999;Medium;Tier 1;Supermarket Type1;784.3124
FDQ52;11;Low Fat;0.105816753;Breads;126.0046;OUT035;2004;Small;Tier 2;Supermarket Type1;871.5322
FDY28;;Regular;0.105812357;Fruits and Vegetables;175.0396;OUT027;1985;Medium;Tier 3;Supermarket Type3;4012.1108
